username,lemmatized_text,extract_hashtags,labels
MosesNgigeKE,kenya today #maandamanothursdays #maandamanomondays,MaandamanoThursdays MaandamanoMondays,"[0.3, 0.4, 0.3]"
BashirXaqdoon,"think people avoid kisumu all together. you not luo, they vandalise your property #kisumu #kenya #maandamanothursdays",kisumu kenya MaandamanoThursdays,"[0.3, 0.4, 0.3]"
MutuaLoyd,"#maandamanomonday soul lost, 2nd soul lost. today #maandamanothursdays more than souls lost. how many souls you want, prince violence raila odinga?",maandamanomonday MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
Lemmy_masai,approved. that shows how great baba is. #arrestraila #maandamanothursdays,ArrestRaila MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
chebormamba,very wrong..... #maandamanothursdays heading back dark days you're heading wrong direction,MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
kajonee,#maandamanothursdays #kisumu #raila,MaandamanoThursdays kisumu Raila,"[0.3, 0.4, 0.3]"
stephenmuriun11,meanwhile.. ask your dead elijah... this peace decreed kenya... isn't....#maandamanothursdays,MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
Ndoroboh,"watu karen tunataka maandamano pia, hata sisi pesa yetu teargas itumike. please baba spare day our #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
joeamanon,when next chapter kenya written they feature mothers sisters who helped patriots brave teargas during revolution #maandamanothursdays,MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
FlavioKim_,"maandamanos being held posh estates looted businesses ones owned politicians they themselves put measures end them instantly saw what happened monday,they only care about themselves wise #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
kuimary1,some people naive...atin #arrest who? #railaodinga who? gwacheni mchezo buana,arrest RailaOdinga,"[0.3, 0.4, 0.3]"
muthini2015,manifestation 'peaceful maandamano azimio coalition. why play oblivious such acts their rogue demonstrators? #maandamanothursdays,MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
madtraxx,"kids wondering, why can't they just work this out? #aconversationmustbestarted #raila #maandamanothursday #outeringroad #kenyakwanza #azimio",AConversationMustBeStarted Raila MaandamanoThursday outeringroad KenyaKwanza Azimio,"[0.2, 0.10000000000000009, 0.7]"
BiftuFm,"""the dead mortuary crying""- kisumu demonstrators vandalize morgue during today's azimio demonstration. #maandamanothursdays",MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
davisyogi1,kenyans large enjoy circus #supremecourt #railaodinga #maandamanothursdays #ichungwaa,SupremeCourt RailaOdinga MaandamanoThursdays Ichungwaa,"[0.2, 0.10000000000000009, 0.7]"
Lmc_89,united people fighting against impunity #maandamanothursdays,MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
MuthokaTito,"""politics gentle art getting votes from poor campaign funds from rich, promising protect each from other."" 🔸oscar ameringer #maandamano #maandamanothursdays",Maandamano MaandamanoThursdays,"[0.3, 0.4, 0.3]"
DjFlamezz_Kenya,currently going on.... #raila #maandamanothursdays,Raila MaandamanoThursdays,"[0.3, 0.4, 0.3]"
FlavioKim_,"stop maandamano you after people who reason high cost living, you won't find them kibera,mathare,imara daima. find them karen,kileleshwa,runda their big estate(not encouraging any violence though) inaweza isha day #maandamanothursdays",MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
MichaelKamauNM3,"oyugis residents,,utelised their #maandamanothursdays using police vehicle after grabbing from them,, anarchy encroaching slowly slowly,, times war,,the law falls silent... #freedom",MaandamanoThursdays freedom,"[0.8, 0.09999999999999995, 0.1]"
JoeMbaya,get point where returns taxman minimal traders business men tell you point-blank collect taxes from your mau mau decendands who've chest thumbing whoever cares listen. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
leem_alsina254,weeuh! alhamdulillah inshaallah #ramadhankareem #maandamanothursdays #pwaniuniversity #breakingnews,RamadhanKareem MaandamanoThursdays PwaniUniversity BreakingNews,"[0.3, 0.4, 0.3]"
Safariboss,not #azimio protestors you can see devil dealing with.,Azimio,"[0.8, 0.09999999999999995, 0.1]"
SanyaNabwana,there you go.... #maandamanothursdays #maandamano,MaandamanoThursdays Maandamano,"[0.3, 0.4, 0.3]"
eva_muchiri,arresting #railaodinga bad mistake it’s only bound make things worse #maandamano now everyday #arrest #outering #maandamano #sifuna #arrest,RailaOdinga Maandamano arrest outering Maandamano sifuna arrest,"[0.8, 0.09999999999999995, 0.1]"
SanyaNabwana,camaraderie spirit added much needed impetus keep pushing.the water timely deal tear gas effects. #maandamanothursdays #maandamano,MaandamanoThursdays Maandamano,"[0.3, 0.4, 0.3]"
OCSleader1,pipeline residents mbarikiwe tu. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
NabwanaSanya,camaraderie spirit added much needed impetus keep pushing.the water timely deal tear gas effects. #maandamanothursdays #maandamano,MaandamanoThursdays Maandamano,"[0.3, 0.4, 0.3]"
KiguruKimani,level defiance displayed this #azimio planned #maandamano symptomatic someone who made conclusive decision himself. that rather destroy kenya than live reality that never president republic kenya.,azimio Maandamano,"[0.3, 0.4, 0.3]"
_gitonga__,enemy people. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
ItsMJ254,maandamano until illegal positions occupied others revoked nullified our taxes used appropriately. thank you being soldier masses heard. #maandamanothursdays,MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
kevoprezzo,🤣🤣🤣 what tha hell?? nobody world can beat luos protests! hawa watu hujitolea #maandamanothursdays gachagua ruto hatawezana hawa watu!,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
BreakingNewsKE,journalists condemn increased attack their colleagues during azimio protests after several injured today. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
authenttick,#raila car shot criminal police. this illegal arrest raila odinga you'll know who kenyans #maandamano #maandamanothursdays,Raila Maandamano MaandamanoThursdays,"[0.3, 0.4, 0.3]"
HON_GGWACHIRA,this #maandamanothursdays mondays not country soon. need statesmen deliberately omitted women not misogynist). this context mean skilled wise leader rescue from fire that burning us...,MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
FlavioKim_,lest forget #maandamanothursdays tugege,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
lord_violence2,"there difference between uhuru, raila, ruto, kalonzo,martha, mudavadi, other politicians; they're all political cousins they can turn against you. #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
AlexWatamu,supper time pipeline kisumu #raila #maandamanothursdays #maandamano,Raila MaandamanoThursdays Maandamano,"[0.3, 0.4, 0.3]"
jamesch08808582,today demonstrations peaceful untill police officers tear gassed unarmed kenyans protesting streets nairobi.our police officers key perpetrators violence this country #maandamanothursdays,MaandamanoThursdays,"[0.5, 0.09999999999999998, 0.4]"
MuthokaTito,proof never happened.. #maandamano #maandamanothursdays,Maandamano MaandamanoThursdays,"[0.3, 0.4, 0.3]"
MuthokaTito,nkama mzee aliwambia wampelekee maiti moja🤔 #maandamano #maandamanothursdays,Maandamano MaandamanoThursdays,"[0.3, 0.4, 0.3]"
marie_sly,mnatumwagia maji pink kwani ilikua gender reveal #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
kitekimichael,"#raila role being played #azimio leadership good economy, democracy rule law? rest peace |jacaranda |dp gachagua |sakaja |pope francis| gatundu |nakuru |kayole| runda| edwin sifuna| outering road| pwani university| pipeline |william ruto |mc fullstop",Raila Azimio,"[0.2, 0.10000000000000009, 0.7]"
AllenNext,"2027 you'll still demanding that iebc ""open"" servers. nobody takes you seriously anymore. not even international community. what sad humiliating way end your political career. #raila #maandamanothursday #maandamanomonday #maandamanothursdays",Raila MaandamanoThursday MaandamanoMonday MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
MacMulley,you can feel pain his voice. raila needs pay all damages caused can't continue this tactic. #maandamanothursdays maandamano,MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
oukois1,raila mania...!!☺️😂💙💙💙 #maandamanothursdays #maandamano,MaandamanoThursdays Maandamano,"[0.3, 0.4, 0.3]"
muthini2015,kwee farewell home.... vandalized equipments stolen. kisumu #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
MuthokaTito,"all know tenants protesting presence protestors,,,, agenda agend. #maandamano #maandamanothursdays",Maandamano MaandamanoThursdays,"[0.3, 0.4, 0.3]"
OWINOOSCAR4,"jokanyanam,do not destroy our home town development name maandamano. baba didn't mean this, protect our development all cost,arrest any thug taking advantage maamdamano #azimio lets our own security this sad overboard.",Azimio,"[0.8, 0.09999999999999995, 0.1]"
odindomarvin,today protesters looted morgue jaramogi oginga odinga hospital kisumu. seems even dead not rest peace because raila lost election. #maandamanothursdays #maandamano #maandamanomondays,MaandamanoThursdays Maandamano MaandamanoMondays,"[0.2, 0.10000000000000009, 0.7]"
Giftedzoom,kindly kama unaenda towards donholm usiende kaa penye uko. looters stealing from anyone sight #maandamanothursdays #kibra #railaodinga,MaandamanoThursdays Kibra RailaOdinga,"[0.8, 0.09999999999999995, 0.1]"
RailaOdinga,we're grateful residents pipeline who selflessly poured water down from their high-rise flats douse our team from intense teargas. mubarikiwe. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Rachetoh,shock kisumu protesters loot supermarkets mortuary. yaani hadi kwa morgue tena mna'raid? weuh! this too much nah! #maandamanothursdays outering road #raila kisumu,MaandamanoThursdays Raila,"[0.3, 0.4, 0.3]"
pic_speak,"raila's car shot at. raila dies today, some point man buried, how long his supporters cause chaos, until his funeral? #maandamano #maandamanomondays #maandamanothursdays outering road tassia pipeline william ruto",Maandamano MaandamanoMondays MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
thatchicpinniey,police oyugis looking landcruiser that quietly repossessed taxpayers after they left engine running wasting expensive fuel. #outeringroad #maandamanothursdays,outeringroad MaandamanoThursdays,"[0.3, 0.4, 0.3]"
ArthurMbugwa2,"human can survive one kidney opposed usual two.. then surely it's possible survive one lung, other failed 🤷🏿‍♂️ however, lots caution change lifestyle very necessary.. fullstop #maandamanothursdays",MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
osamaoloo,"desperate success, before life forces you desperate help #maandamanothursdays",MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
Asamoh_,destroying any property criminal act. reason police notified arrest those looting public private properties anywhere. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
_MrKaplan1,between kazi mtaani hustler fund which more sustainable #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
kanyineshman,𝒌𝒂𝒓𝒊𝒃𝒖 𝒛𝒊𝒆𝒏𝒅𝒆😞😞𝒐𝒈𝒐𝒑𝒂 𝒘𝒂𝒔𝒆𝒆 𝒋𝒂𝒃𝒂😮😮 #maandamanothursdays #raila runda mathare,MaandamanoThursdays Raila,"[0.3, 0.4, 0.3]"
mirrorreflecti9,#maandamanothursdays update from kisumu town.. they stole from dead... yes heard right morgue vandalized. anyang' nyong'o wanted safe face from such azimio leadership feels pain even when dead robbed.,MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
CoachBill254,zakayo's portrait fell today? what's your take? #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
_heavyZ,biatch: lazima serve ifunguliwe #maandamanothursdays #pwaniuniversity,MaandamanoThursdays PwaniUniversity,"[0.3, 0.4, 0.3]"
RashidMohamedK2,"#breaking: police shot three people dead #jacaranda embakasi east, #nairobi. protesters destroying &amp; looting properties while police continue killing people. what way forward? #maandamanothursdays #maandamanomondays",BREAKING Jacaranda Nairobi MaandamanoThursdays MaandamanoMondays,"[0.8, 0.09999999999999995, 0.1]"
KOT_Loyalss,kisumu they even looted funeral home fear these people. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
sammytkamau,mungu mbele #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
EtteKerubo,"mean, care your employees when you expose them dangerous work environment. helmet, bullet proof vests, knee pads, elbow pads e.t.c #care #maandamanothursdays #raila",care MaandamanoThursdays Raila,"[0.3, 0.4, 0.3]"
SaneJohn2,very soon this illegitimate regime meet people power head on!... outering mambo ilichemuka.... #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
authenttick,police overpowered peaceful kenyans after they teargassed citizens who not even demonstrating. we're not stopping until high cost living addressed. #raila #maandamano #maandamanothursdays babu owino fullstop pipeline outering road nakuru eldoret,Raila Maandamano MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
Limefiber,stay connected productive our lightning-fast speeds unbeatable reliability. call limefiber 0730 654444 today! #fastinternet #reliableservice #affordablepricing #secureonlineeexperience #internetforhomeandbusiness #maandamanothursdays,fastinternet reliableservice affordablepricing secureonlineeExperience internetforhomeandbusiness MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Bennyboom486,supper tunatoa hapaa leo odds just game's don't miss! 🔥🔥✅🤞🤞 #nikujaributu #gamblingtwiitter #demonstrations #maandamanothursdays #pesatips,NikujaribuTu GamblingTwiitter Demonstrations MaandamanoThursdays pesatips,"[0.3, 0.4, 0.3]"
Meshack_namayi,"call day! kesho mkiskia nikinukia cologne safi watu wangu, jua kazi #maandamanothursdays outering road pipeline tassia tumemaliza, asante baba #raila",MaandamanoThursdays Raila,"[0.3, 0.4, 0.3]"
Wiseman000002,these demos from monday monday baba not handshake that praying mantis need unrest #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
tom_mule,violence jacaranda center night after youths burn cars storm houses .... till when???!!!! #maandamanothursdays,MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
TestTFBC,truth absolute regardless who you support. those who think opening servers superior supreme court verdict create their own chaotic country #azimio #ukraine #kojoforex #라잌크레이지_엠카1위축하해,Azimio Ukraine Kojoforex 라잌크레이지_엠카1위축하해,"[0.2, 0.10000000000000009, 0.7]"
degit_world,"looking perfect, sexy, classy &amp;of course high processing power laptop your business, school personal use? got you covered. visit &amp; get this envy low ksh. 115,000!🔥 #degitworldelectronics #maandamanothursdays #maandamano #nairobi",degitworldelectronics MaandamanoThursdays Maandamano Nairobi,"[0.2, 0.10000000000000009, 0.7]"
mirrorreflecti9,"enough enough hon kimani ichung'wa says #arrestraila this after destruction properties #maandamanothursdays well injuries members public, journalists policemen.",ArrestRaila MaandamanoThursdays,"[0.3, 0.4, 0.3]"
2MBILIMFALME,watch pwani university accident scene ... raila outering road #maandamanothursdays #kisumu siaya pipeline imara daima naivasha,MaandamanoThursdays KISUMU,"[0.3, 0.4, 0.3]"
IGNateM,timid men prefer calm despotism tempestuous sea liberty. thomas jefferson #tassia #maandamanothursdays,Tassia MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Wabayee,"there some organized criminals using this #maandamano #maandamanothursdays #maandamanomondays run their hustle. business people having hard time general, especially nrb. raila &amp; his diehards giving nabii hard time. let's see how nabii respond.",Maandamano MaandamanoThursdays MaandamanoMondays,"[0.3, 0.4, 0.3]"
CapitalFMKenya,"""our laws just fine,"" wakili shares his legal take #maandamanothursdays #thelegalinsider #quickonewakili",MaandamanoThursdays TheLegalInsider QuickOneWakili,"[0.3, 0.4, 0.3]"
_Moses_A,seriously even morgue?? #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
bonventure21,kesho majaaliwa movie inaendelea... #outerringmmo #maandamanothursdays #stringed,OuterRingMMO MaandamanoThursdays Stringed,"[0.3, 0.4, 0.3]"
Thee_Gixx,click here #maandamanothursdays tyga pwani university condolences maxine wahome,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Bonjoviey,"these demonstrations, smell very long holiday coming soon, unatoka ofisi wed unarudi tue. you know you know #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
authenttick,when madness entire nation disturbs solitary mind it's not enough say that person mad~francis #raila #maandamano #maandamanothursdays nakuru outering road,Raila Maandamano MaandamanoThursdays,"[0.3, 0.4, 0.3]"
KevmahMaish,why only kisumu slums where demonstrators are... those only areas azimio commands?.. where does command?.. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
FrontdevDude,#maandamanothursdays main concern not outcome protests number people attending demonstrations especially week day mfs got nothing probably nothing lose,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
HarryGodfirst,#kenya #maandamanothursdays,Kenya MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Jeshi_LaBABA,ultimate power belongs people✊✊✊ #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
MKENYA_SHUJAA,its now clear that raila one after kenyatta’s land that organised #northlandsinvasion quite unfortunate. #maandamano #maandamanothursdays,NorthlandsInvasion Maandamano MaandamanoThursdays,"[0.3, 0.4, 0.3]"
HarryGodfirst,#kenya #maandamanothursdays,Kenya MaandamanoThursdays,"[0.3, 0.4, 0.3]"
SuPremeKimani3,#tirriestuesday #maandamanothursdays,tirriestuesday MaandamanoThursdays,"[0.3, 0.4, 0.3]"
OmaribaKE,"raila odinga alleges assassination attempt, says car shot times live bullets. #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
GabrielDolan1,#maandamanothursdays thugs thieves taking advantage azimio fast losing public support. better discover smart effective protesting forget it.,MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
SuPremeKimani3,#tirriestuesday #maandamanothursdays,tirriestuesday MaandamanoThursdays,"[0.3, 0.4, 0.3]"
NoelKasewo,rest peace #ripahoufe #maandamanothursdays,RipAhoufe MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
254_exclusive,monday mkitupea izi vitu kazi ingine mtuachie...we clear way hadi cbd.... #ukraine #raila #maandamanothursdays,Ukraine Raila MaandamanoThursdays,"[0.3, 0.4, 0.3]"
SuPremeKimani3,#tirriestuesday #maandamanothursdays,tirriestuesday MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Starty_KE,ati baba asasema😂 what's shosh? #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
OKendrick0,you now enjoy humiliation meted inhale those toxic fumes not because being hostage doing what just fair within constitution. aluta continua... #maandamanomondays,MaandamanoMondays,"[0.2, 0.10000000000000009, 0.7]"
SuPremeKimani3,#tirriestuesday #maandamanothursdays,tirriestuesday MaandamanoThursdays,"[0.3, 0.4, 0.3]"
JaneFKyalo,"pissed rn. don't need any more negative energy. meanwhile, starting again monday. #maandamanomondays",MaandamanoMondays,"[0.3, 0.4, 0.3]"
Rush_254,#maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
RuudInKenya,#maandamanothursdays #nairobi attack from behind act willful ignoring act within frame bill rights.,MaandamanoThursdays Nairobi,"[0.3, 0.4, 0.3]"
authenttick,youths outering road nairobi breathing fire. police deployed chased their protective gears grabbed they tried barricade roads block #azimio convoy. #raila #maandamano #maandamanothursdays edwin sifuna eldoret gatundu maxine wahome babu owino,Azimio Raila Maandamano MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
PopularStories_,outering road. #maandamano #maandamanothursdays,Maandamano MaandamanoThursdays,"[0.3, 0.4, 0.3]"
TalibDaishin,this how much mzee hates somalis #maandamanothursdays,MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
Dr_LeNoir_,shambolic acts robbing people broad daylight during demonstrations being peddled young people who taken advantage demonstrations. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
BigKahunar,igp arrest him asap. raila not above law lakini #maandamanothursdays #maandamanomondays still continue bring down cost living,MaandamanoThursdays MaandamanoMondays,"[0.3, 0.4, 0.3]"
ViralTeaKe,"nps termed claims propaganda spreading across social media platforms, adding that they malicious meant cause fear among members public. #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
lord_violence2,"also doing random meetings without announcing where going mobilization, definitely fearing that some snipers tracking him.. #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
lord_violence2,raila odinga addressing people from door his car last two demonstrations despite his car having sunroof.... #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
ItsMJ254,"kenyans, how angry you appointment illegal cas's like omanga kidero who chewing your taxes tune over ksh 470m+ every year? #maandamanothursdays",MaandamanoThursdays,"[0.5, 0.09999999999999998, 0.4]"
RadaNiBaba22,#playoftheday ...eastlando leo wameambia kibra...hold drink. #maandamanothursdays kaende sana,PlayOfTheDay MaandamanoThursdays,"[0.3, 0.4, 0.3]"
AnnLorna1,targeting attacking journalists who just airing events they unfold condemned strongest words possible. very sad day kenya. #maandamanothursdays #raila #azimio #outeringroad,MaandamanoThursdays Raila Azimio OuteringRoad,"[0.8, 0.09999999999999995, 0.1]"
SanyaNabwana,"art war:""don't corner rat"" #maandamanothursdays #maandamano",MaandamanoThursdays Maandamano,"[0.8, 0.09999999999999995, 0.1]"
Brianosiema,azimio's demand's legit #ukraine #railaspeaks #maandamanothursdays #edwinsifuna #babuowino,Ukraine Railaspeaks MaandamanoThursdays edwinsifuna babuowino,"[0.2, 0.10000000000000009, 0.7]"
NabwanaSanya,"art war:""don't corner rat"" #maandamanothursdays #maandamano",MaandamanoThursdays Maandamano,"[0.8, 0.09999999999999995, 0.1]"
ChrisstalFarms1,"outering road: climax today's business, after police run out tiagas, this economic revolution movement baba #railaodinga unstoppable! babu owino edwin sifuna #maandamano #maandamanothursdays",RailaOdinga Maandamano MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
Jeshi_LaBABA,jeshi baba alert!!! it's alleged police shot killed young boy outering road..they're using live bullets civilians. #maandamanothursdays,MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
ShadowNewsKe,"raila odinga wants access nairobi cbd- maximise his violence &amp;destroy businesses worth billions ksh #maandamanomondays failed. today, his #maandamanothursday failed again. he'd run back karen🤣 azimio #maandamano continue fail...fail...fail",MaandamanoMondays MaandamanoThursday Maandamano,"[0.8, 0.09999999999999995, 0.1]"
odindomarvin,country can afford this kind scenario survive economically. this total economic sabotage. these protests need end. #maandamanothursdays #outering #raila #maandamano #thikaroad,MaandamanoThursdays Outering Raila Maandamano ThikaRoad,"[0.3, 0.4, 0.3]"
thekenyatimes,"tell raila odinga, you unfair this country. rigathi gachagua #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
AzimioTv,very soon this illegitimate regime meet people power head on! #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
rankingizzoh,"reason why ghetto people demonstrating coz they being paid so,they organize themselves groups tell their leaders call politicians tell them they got crowd either leaders there send them money #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
AntonyG70938608,you liar ....no goons left behind .... those guys just having peaceful demos...when puppet police decided throw teargas canastas them.....so they retaliate......the police using brutal force which not good all.#maandamanothursdays,MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
cff_kenya,"continue exercise right protest, urge protesters peaceful lawful during protests. destruction property protesters waters down legality protests. also call upon police uphold law. #maandamanothursdays #freetoprotest",MaandamanoThursdays FreeToProtest,"[0.5, 0.09999999999999998, 0.4]"
DLUDOGOLI,#maandamanothursdays one day people say enough enough hiyo siku inakaribia soon,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
mbvxcavag,guess what telling them. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
KabaniSekanyol1,#maandamanomondays #maandamanothursdays #endm7dictatorship,MaandamanoMondays MaandamanoThursdays ENDM7Dictatorship,"[0.2, 0.10000000000000009, 0.7]"
Roy_koech7,mapema ndo best 😂😂😂😂 #maandamanothursdays fullstop,MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
Peterz_Model,kenyan police officers back school some mentorship. don't know whether they know that they being used create more money foreigner ruto. when these officers learn? #ukraine #maandamanothursdays pwani university outering road #raila,Ukraine MaandamanoThursdays Raila,"[0.3, 0.4, 0.3]"
adann100,because not uhuru's farm raila's industry media azimio keep quiet. shame since jumia somali owned need response from somali leaders.#maandamanothursdays,maandamanothursdays,"[0.3, 0.4, 0.3]"
TradearlNewsSvc,protestors loot kismu supermarket allegedly giving police milk. standard #maandamanothursdays #jamiasupermarket #tradearlnews,MaandamanoThursdays JamiaSupermarket TradearlNews,"[0.3, 0.4, 0.3]"
BlaqAnarchist,vandalised today: new sh37m kwee funeral home that governor opened only yesterday jaramogi oginga odinga teaching referral hospital kisumu. peaceful protest #raila #maandamanothursdays,Raila MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
rankingizzoh,"social media media houses making look like majority kenyans demonstrating, make look worse reality only few paid goons demonstrating causing few unrest while rest people minding their business #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
ncbethebest1,why you think people continue say that #kenyans #kenyans according election results you just mentioned that over? possible ignore 48.8% ideas #azimio next years? hungry citizens/young people keep their patriotism forever?,Kenyans Kenyans Azimio,"[0.3, 0.4, 0.3]"
waza_news,"farmers murinduko's karuangi village mwea, kirinyaga county, counting losses after monkeys invaded their farms. #monkeys #farm #maandamanothursdays",MONKEYS farm MaandamanoThursdays,"[0.3, 0.4, 0.3]"
AmianiOfficial,"tell raila odinga, you unfair this country. rigathi gachagua #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
gff_kim,ng'ombe ng'ombe 2...... sad hizi #maandamanothursdays #maandamanomondays mtaacha 2..... very foolish people this,MaandamanoThursdays MaandamanoMondays,"[0.8, 0.09999999999999995, 0.1]"
Meshack_namayi,"uku pipeline outering road sai masaa kuiba sasa, alaf wafanye mistake waanue stima, #raila plus #maandamanothursdays nitawashukuru sana. sema kuomoka double door fridge, microwave, condoms, bed, unga woofer etc",Raila MaandamanoThursdays,"[0.3, 0.4, 0.3]"
TheBarnupdate,"kenyans, it's high time become real because it’s longer laughing matter. let's leave fact that many businesses close third week because maandamano. #maandamanothursdays #maandamano #raila #protest",MaandamanoThursdays Maandamano Raila protest,"[0.3, 0.4, 0.3]"
AslayIdris,today family going sleep hungry another family lost its source income someone lost his job today because #maandamanothursdays whats happening just arrest this sleeping old man #maandamanothursdays,MaandamanoThursdays MaandamanoThursdays,"[0.3, 0.4, 0.3]"
RealSimbaC,"you thought mathare, kawangware kibera mightier, try pipeline... #raila seeing today not son jaramogi we've always known. he's mighty, sovereign everlasting. reclaim our victory now. #maandamanothursdays",Raila MaandamanoThursdays,"[0.5, 0.09999999999999998, 0.4]"
komborianga,"case mainstream media doesn't focus this.remember,never allow yourself manipulated brainwashed.none our selves can free our minds from mental slavery.the azimio adherents need emancipation! #maandamanothursdays #raila",MaandamanoThursdays Raila,"[0.3, 0.4, 0.3]"
RentmyRydez,"what difference between gle &amp; gle53 gets super smooth 429-hp turbocharged inline-six, while gle63 features almighty 603-hp twin-turbo v-8, all 9-speed auto transmission &amp; all-wheel drive. 🏎️🔥 #maandamanothursdays",MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
KOT_Loyalss,they back president william ruto because they know won august election. you thought that west back your coup then you mistaken. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
RetweeterKe,not about economy! #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
BigKahunar,"#maandamanothursdays #maandamanomondays itakuwa ivyo ivyo. ambia ruto apunguze bei unga bob vile alisema,mambo servers kufunguliwa sisi hatuko.",MaandamanoThursdays MaandamanoMondays,"[0.3, 0.4, 0.3]"
AllenMwiwawi,kamlesh patni aka brother paul done again. seems true kenyan hustling spirit. 😀😄😂 #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
