username,lemmatized_text,extract_hashtags,labels
NabwanaSanya,  camaraderie spirit add much need impetus keep pushingThe water timely deal tear gas effect,MaandamanoThursdays Maandamano,[0.08881919 0.36109093 0.55008984]
KiguruKimani,  level defiance display plan symptomatic someone make conclusive decision would rather destroy Kenya live reality NEVER President Republic Kenya,azimio Maandamano,[0.93772423 0.04910371 0.01317198]
_gitonga__,  enemy people,MaandamanoThursdays,[0.78773004 0.14404474 0.0682252 ]
ItsMJ254,  Maandamano MUST illegal position occupy others revoke nullify tax use appropriately thank soldier mass hear,MaandamanoThursdays,[0.5882099  0.26419467 0.14759542]
kevoprezzo,  🤣🤣🤣 tha hell Nobody world beat Luos protest Hawa watu hujitolea Gachagua Ruto hatawezana na Hawa watu,MaandamanoThursdays,[0.7086034  0.2091764  0.08222014]
BreakingNewsKE,  JOURNALISTS condemn increase attack colleague Azimio protest several injure today,MaandamanoThursdays,[0.882012   0.09561022 0.02237781]
authenttick,  car shoot criminal police illegal Arrest Raila Odinga youll know Kenyans,Raila Maandamano MaandamanoThursdays,[0.79437006 0.18279822 0.02283175]
HON_GGWACHIRA,  Mondays might country soon need STATESMEN ( deliberately omit woman misogynist ) context mean skilled WISE leader rescue us fire burn us,MaandamanoThursdays,[0.67384315 0.20114996 0.1250069 ]
FlavioKim_,  Lest forget tugege,MaandamanoThursdays,[0.38130903 0.39924097 0.21945   ]
lord_violence2,  difference Uhuru Raila Ruto KalonzoMartha Mudavadi politician theyre political cousin turn,MaandamanoThursdays,[0.34021223 0.4824622  0.17732556]
AlexWatamu,  Supper time Pipeline Kisumu,Raila MaandamanoThursdays Maandamano,[0.08006485 0.86937344 0.05056169]
jamesch08808582,  Today demonstration peaceful untill police officer tear gas unarmed kenyan protest street NairobiOur police officer key perpetrator violence country,MaandamanoThursdays,[0.77102643 0.1735974  0.05537611]
MuthokaTito,  Proof never happen,Maandamano MaandamanoThursdays,[0.5186788  0.40441814 0.07690307]
MuthokaTito,  Nkama mzee aliwambia wampelekee maiti moja🤔,Maandamano MaandamanoThursdays,[0.4491664  0.37864834 0.17218529]
marie_sly,  Mnatumwagia maji ya pink kwani ilikua gender reveal,MaandamanoThursdays,[0.26015627 0.4354864  0.30435732]
kitekimichael,  role play leadership good economy democracy rule law Rest peace |Jacaranda |DP Gachagua |Sakaja |Pope Francis| Gatundu |Nakuru |Kayole| Runda| Edwin Sifuna| Outering Road| Pwani University| Pipeline |William Ruto |MC Fullstop |,Raila Azimio,[0.1894803  0.58758795 0.22293176]
AllenNext,  2027 youll still demand IEBC open server Nobody take seriously anymore even international community sad humiliate way end political career,Raila MaandamanoThursday MaandamanoMonday MaandamanoThursdays,[0.94981784 0.03991864 0.01026343]
MacMulley,  feel pain voice Raila need pay damage cause cant continue tactic Maandamano,MaandamanoThursdays,[0.8997937  0.08284661 0.01735982]
oukois1,  Raila mania,MaandamanoThursdays Maandamano,[0.42025098 0.32029337 0.25945565]
muthini2015,  Kwee Farewell Home vandalize equipment steal KISUMU,MaandamanoThursdays,[0.7238932  0.23539    0.04071684]
MuthokaTito,  🤣 🤣 🤣 🤣 🤣 🤣 🤣 know tenant protest presence protestors agenda must agend,Maandamano MaandamanoThursdays,[0.342382   0.39859736 0.25902066]
OWINOOSCAR4,  Jokanyanamdo destroy home town development name maandamano baba didnt mean protect development costarrest thug take advantage maamdamano let security sad overboard,Azimio,[0.6099944  0.24669734 0.14330828]
odindomarvin,  Today protester loot MORGUE Jaramogi Oginga Odinga hospital Kisumu seem even dead rest peace Raila lose election,MaandamanoThursdays Maandamano MaandamanoMondays,[0.8194476  0.1439484  0.03660402]
Giftedzoom,  Kindly kama unaenda towards Donholm usiende kaa tu penye uko looter steal anyone sight,MaandamanoThursdays Kibra RailaOdinga,[0.72684366 0.19653128 0.07662507]
RailaOdinga,  grateful Residents Pipeline selflessly pour water highrise flat douse team intense teargas Mubarikiwe,MaandamanoThursdays,[0.2395663  0.42983916 0.33059448]
Rachetoh,  Shock Kisumu protester loot supermarket mortuary Yaani hadi kwa morgue tena mnaraid Weuh much nah Outering Road Kisumu,MaandamanoThursdays Raila,[0.92869955 0.05656339 0.01473703]
pic_speak,  Railas car shoot Raila die today point man must bury long supporter cause chaos funeral Outering road | Tassia | Pipeline | William Ruto,Maandamano MaandamanoMondays MaandamanoThursdays,[0.8694659  0.11597755 0.0145565 ]
thatchicpinniey,  Police Oyugis look landcruiser quietly repossess taxpayer leave engine run waste expensive fuel,outeringroad MaandamanoThursdays,[0.78381366 0.17122531 0.04496111]
ArthurMbugwa2,  human survive one kidney oppose usual two surely possible survive one lung fail 🤷‍ However lot caution change lifestyle necessary MC Fullstop,MaandamanoThursdays,[0.50872856 0.3913882  0.09988325]
osamaoloo,  desperate success life force desperate help,MaandamanoThursdays,[0.33351517 0.36744863 0.2990362 ]
Asamoh_,  DESTROYING PROPEY CRIMINAL ACT reason police notify arrest loot public private property anywhere,MaandamanoThursdays,[0.9494978  0.04136858 0.00913361]
_MrKaplan1,  kazi mtaani hustler fund sustainable,MaandamanoThursdays,[0.24690288 0.43992567 0.31317142]
kanyineshman,  Runda Mathare,MaandamanoThursdays Raila,[0.24941806 0.612274   0.13830797]
mirrorreflecti9,  Update Kisumu town steal DEAD Yes u hear right morgue vandalize Anyang Nyongo want safe face Azimio leadership feel pain even dead rob,MaandamanoThursdays,[0.8838375  0.08726612 0.02889642]
CoachBill254,  Zakayos portrait fell today Whats take,MaandamanoThursdays,[0.43717048 0.5052212  0.05760831]
_heavyZ,  biatch : Lazima serve ifunguliwe,MaandamanoThursdays PwaniUniversity,[0.16698475 0.6205316  0.21248363]
RashidMohamedK2,  Police shoot three people dead Embakasi East protester destroy amp loot property Police Continue kill People way forward,BREAKING: Jacaranda Nairobi MaandamanoThursdays MaandamanoMondays,[0.76833665 0.20459309 0.0270703 ]
KOT_Loyalss,  Kisumu even loot funeral home Fear people,MaandamanoThursdays,[0.86352116 0.10592843 0.03055042]
sammytkamau,  Mungu Mbele,MaandamanoThursdays,[0.22925493 0.30872753 0.46201757]
EtteKerubo,  mean care employee expose dangerous work environment Helmet bullet proof vest knee pad elbow pad etc,care MaandamanoThursdays Raila,[0.826838   0.15789816 0.01526388]
SaneJohn2,  soon illegitimate regime meet people power head Outering Mambo ilichemuka,MaandamanoThursdays,[0.686273   0.21752359 0.09620338]
authenttick,  Police overpower peaceful Kenyans teargas citizen even demonstrate stop high cost living address Babu Owino Mc Fullstop Pipeline outering road Nakuru Eldoret,Raila Maandamano MaandamanoThursdays,[0.502981   0.30516657 0.19185242]
Limefiber,  Stay connect productive lightningfast speed unbeatable reliability call us LimeFiber 0730 654444 today,fastinternet reliableservice affordablepricing secureonlineeExperience internetforhomeandbusiness MaandamanoThursdays,[0.01558521 0.4986784  0.4857364 ]
Bennyboom486,  SUPPER TUNATOA HAPAA LEO 5+ ODDS 4 GAMES Dont Miss 🤞🤞,NikujaribuTu GamblingTwiitter Demonstrations MaandamanoThursdays pesatips,[0.08631913 0.6424577  0.27122316]
Meshack_namayi,  call day Kesho mkiskia nikinukia cologne safi watu wangu Jua tu ni kazi ya Outering road Pipeline Tassia tumemaliza Asante Baba,MaandamanoThursdays Raila,[0.33035126 0.33218268 0.33746603]
Wiseman000002,  Demos Monday Monday BABA Must Handshake pray mantis need unrest,MaandamanoThursdays,[0.41983348 0.35586894 0.22429757]
tom_mule,  Violence Jacaranda B Center night youth burn car storm house till,MaandamanoThursdays,[0.8699687  0.11771761 0.01231376]
TestTFBC,  truth absolute regardless support think open server superior supreme court verdict go create chaotic country,Azimio Ukraine Kojoforex 라잌크레이지엠카1위축하해,[0.43727228 0.37141204 0.19131567]
degit_world,  Looking perfect sexy classy ampof course high processing power laptop business school personal use get cover Visit us amp get HP Envy 17 low KSH 115000,degitworldelectronics MaandamanoThursdays Maandamano Nairobi,[0.06262983 0.62960356 0.3077666 ]
mirrorreflecti9,  Enough enough Hon Kimani Ichungwa say destruction property well injury member public journalist policeman,ArrestRaila MaandamanoThursdays,[0.64676917 0.28834268 0.0648882 ]
2MBILIMFALME,  WATCH PWANI UNIVERSITY ACCIDENT SCENE RAILA OUTERING ROAD SIAYA PIPELINE IMARA DAIMA NAIVASHA,MaandamanoThursdays KISUMU,[0.57345414 0.27696437 0.14958146]
IGNateM,  Timid men prefer calm despotism tempestuous sea liberty Thomas Jefferson,Tassia MaandamanoThursdays,[0.56925833 0.29030323 0.14043847]
Wabayee,  organized criminal use run hustle Business people hard time general especially Nrb Raila amp diehard give Nabii hard time Lets see Nabii respond,Maandamano MaandamanoThursdays MaandamanoMondays,[0.42855152 0.31372505 0.25772348]
CapitalFMKenya,  law fine Wakili share legal take,MaandamanoThursdays TheLegalInsider QuickOneWakili,[0.25713885 0.4771182  0.2657429 ]
_Moses_A,  Seriously even morgue,MaandamanoThursdays,[0.8297666  0.12606326 0.0441702 ]
bonventure21,  Kesho Majaaliwa Movie inaendelea,OuterRingMMO MaandamanoThursdays Stringed,[0.24793454 0.5019217  0.25014368]
Thee_Gixx,  Click Tyga Pwani University Condolences Maxine Wahome,MaandamanoThursdays,[0.14611204 0.44248927 0.4113987 ]
Bonjoviey,  demonstration smell long holiday come soon unatoka ofisi Wed unarudi Tue know know,MaandamanoThursdays,[0.17743568 0.4705119  0.35205245]
authenttick,  MADNESS ENTIRE NATION DISTURBS SOLITARY MIND ENOUGH SAY PERSON MAD~Francis Nakuru Outering Road,Raila Maandamano MaandamanoThursdays,[0.93431824 0.05315668 0.01252501]
KevmahMaish,  Kisumu slum demonstrator area Azimio Commands command,MaandamanoThursdays,[0.78705937 0.19320664 0.01973396]
FrontdevDude,  main concern outcome protest number people attend demonstration especially week day mfs get nothing probably nothing lose,MaandamanoThursdays,[0.8016445  0.17139658 0.02695897]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
Jeshi_LaBABA,  ULTIMATE POWER BELONGS PEOPLE,MaandamanoThursdays,[0.08321568 0.23115365 0.6856306 ]
MKENYA_SHUJAA,  clear Raila one Kenyatta ’ land organise Quite unfortunate,NorthlandsInvasion Maandamano MaandamanoThursdays,[0.9482479  0.04054689 0.01120524]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
SuPremeKimani3, ,tirriestuesday MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
OmaribaKE,  Raila Odinga allege assassination attempt say car shot 7 time live bullet,MaandamanoThursdays,[0.774398   0.19776988 0.02783212]
GabrielDolan1,  thug thief take advantage Azimio fast lose public support Better discover smart effective protesting forget,MaandamanoThursdays,[0.7472501  0.19033045 0.0624195 ]
SuPremeKimani3, ,tirriestuesday MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
NoelKasewo,  Rest peace,RipAhoufe MaandamanoThursdays,[0.32132998 0.3425512  0.3361188 ]
254_exclusive,  Monday mkitupea izi vitu Kazi ingine mtuachiewe clear way hadi cbd,Ukraine Raila MaandamanoThursdays,[0.37405273 0.39405757 0.23188965]
SuPremeKimani3, ,tirriestuesday MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
Starty_KE,  Ati Baba ASASEMA Whats Shosh,MaandamanoThursdays,[0.24447124 0.47039804 0.28513074]
OKendrick0,  enjoy humiliation meted inhale toxic fume hostage fair within constitution Aluta continuum,MaandamanoMondays,[0.736098   0.18472199 0.07917998]
SuPremeKimani3, ,tirriestuesday MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
JaneFKyalo,  pissed rn dont need negative energy Meanwhile start Monday,MaandamanoMondays,[0.45324266 0.4298266  0.11693072]
Rush_254, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
RuudInKenya,  attack behind act willful ignore act within frame Bill Rights,MaandamanoThursdays Nairobi,[0.6325814  0.3321421  0.03527645]
authenttick,  Youths Outering Road Nairobi breathe fire Police deploy chase protective gear grab try barricade road block convoy Edwin Sifuna Eldoret Gatundu Maxine Wahome Babu Owino,Azimio Raila Maandamano MaandamanoThursdays,[0.43334913 0.42035696 0.1462939 ]
PopularStories_,  Outering Road,Maandamano MaandamanoThursdays,[0.3507537  0.4876695  0.16157676]
TalibDaishin,  much Mzee hat Somalis,MaandamanoThursdays,[0.81596696 0.11833708 0.06569597]
Dr_LeNoir_,  shambolic act rob people broad daylight demonstration peddle young people take advantage demonstration,MaandamanoThursdays,[0.8692156  0.09810208 0.03268224]
BigKahunar,  IGP arrest ASAP Raila law lakini still continue bring cost living,MaandamanoThursdays MaandamanoMondays,[0.8247626  0.14477897 0.03045841]
ViralTeaKe,  NPS term claim propaganda spread across social medium platform add malicious meant cause fear among member public,MaandamanoThursdays,[0.86067045 0.11647712 0.02285241]
lord_violence2,  also random meeting without announce go mobilization definitely fear sniper might track,MaandamanoThursdays,[0.7798314  0.19942516 0.02074347]
lord_violence2,  Raila Odinga address People door car last two demonstration despite car sunroof,MaandamanoThursdays,[0.41299966 0.39241526 0.19458508]
ItsMJ254,  Kenyans angry appointment illegal CASs like Omanga Kidero chew tax tune ksh 470M+ every year,MaandamanoThursdays,[0.8722149  0.10780821 0.01997687]
RadaNiBaba22,  Eastlando leo wameambia Kibrahold drink kaende sana,PlayOfTheDay MaandamanoThursdays,[0.37735602 0.44067046 0.1819735 ]
AnnLorna1,  Targeting attack journalist air event unfold must condemn strong word possible sad day Kenya,MaandamanoThursdays Raila Azimio OuteringRoad,[0.94342494 0.04555228 0.01102284]
SanyaNabwana,  WAR : Dont corner rat,MaandamanoThursdays Maandamano,[0.59176385 0.336714   0.07152212]
Brianosiema,  Azimios demand legit,Ukraine Railaspeaks MaandamanoThursdays edwinsifuna babuowino,[0.30917403 0.4295366  0.26128933]
NabwanaSanya,  WAR : Dont corner rat,MaandamanoThursdays Maandamano,[0.59176385 0.336714   0.07152212]
ChrisstalFarms1,  Outering Road : climax today business police run tiagas economic revolution movement Baba unstoppable Babu Owino Edwin Sifuna,RailaOdinga Maandamano MaandamanoThursdays,[0.20442387 0.48103783 0.31453833]
Jeshi_LaBABA,  JESHI LA BABA ALE Alleged Police shot Killed Young boy Outering RoadTheyre use live Bullets Civilians,MaandamanoThursdays,[0.8128923  0.16917571 0.01793191]
ShadowNewsKe,  Raila Odinga want access Nairobi CBD maximise violence ampdestroy business worth billion Ksh FAILED today FAILED Hed run back Karen🤣 Azimio La continue FAILFAILFAIL,MaandamanoMondays MaandamanoThursday Maandamano,[0.89007086 0.09038718 0.01954196]
odindomarvin,  country afford kind scenario survive economically total economic sabotage protest need end,MaandamanoThursdays Outering Raila Maandamano ThikaRoad,[0.82285607 0.13896674 0.03817713]
thekenyatimes,  tell Raila Odinga unfair country DP Rigathi Gachagua,MaandamanoThursdays,[0.88914675 0.08259366 0.02825949]
AzimioTv,  soon illegitimate regime meet people power head,MaandamanoThursdays,[0.71711457 0.19137368 0.09151179]
rankingizzoh,  reason ghetto people demonstrate coz pay sothey organize group tell leader call politician tell get crowd either leader go send money,MaandamanoThursdays,[0.5509203 0.3209318 0.1281479]
AntonyG70938608,  liar goon leave behind guy peaceful demoswhen puppet police decide throw teargas canasta themso retaliatethe police use brutal force good,MaandamanoThursdays,[0.69278973 0.20736346 0.09984671]
cff_kenya,  continue exercise right protest urge protester peaceful lawful protest Destruction property protester water legality protest also call upon police uphold law,MaandamanoThursdays FreeToProtest,[0.47275314 0.36189875 0.16534817]
DLUDOGOLI,  One day people say enough enough Hiyo siku inakaribia soon,MaandamanoThursdays,[0.23565416 0.43500444 0.3293414 ]
mbvxcavag,  Guess tell,MaandamanoThursdays,[0.30526218 0.48776522 0.20697257]
KabaniSekanyol1, ,MaandamanoMondays MaandamanoThursdays ENDM7Dictatorship,[0.3257778  0.38096133 0.2932608 ]
Roy_koech7,  Mapema ndo best MC Fullstop,MaandamanoThursdays,[0.17427959 0.3287122  0.4970082 ]
Peterz_Model,  Kenyan police officer go back school mentorship dont know whether know use create money foreigner Mr Ruto officer learn Pwani University Outering Road,Ukraine MaandamanoThursdays Raila,[0.51715237 0.37610635 0.10674126]
adann100,  Uhurus farm Railas industry Media Azimio keep quiet Shame Since Jumia Somali own need response Somali leader,maandamanothursdays,[0.8769529  0.09691361 0.02613342]
TradearlNewsSvc,  Protestors loot Kismu supermarket allegedly give police milk — Standard,MaandamanoThursdays JamiaSupermarket TradearlNews,[0.7437175  0.21091609 0.04536645]
BlaqAnarchist,  VANDALISED TODAY : New Sh37m Kwee Funeral Home Governor open yesterday Jaramogi Oginga Odinga Teaching Referral Hospital Kisumu Peaceful protest,Raila MaandamanoThursdays,[0.1882972  0.4909531  0.32074973]
rankingizzoh,  Social medium medium house make look like majority Kenyans demonstrate make look bad reality pay goon demonstrate cause unrest rest people mind business,MaandamanoThursdays,[0.77223676 0.16792986 0.05983333]
ncbethebest1,  think people continue say Vs accord election result mention possible ignore 488 % idea next 5 year hungry citizens/Young people keep patriotism forever,Kenyans Kenyans Azimio,[0.50913906 0.31048104 0.18037991]
waza_news,  Farmers Murindukos Karuangi village Mwea Kirinyaga County count loss monkey invade farm,MONKEYS farm MaandamanoThursdays,[0.8218289  0.16098209 0.01718907]
AmianiOfficial,  tell Raila Odinga unfair country DP Rigathi Gachagua,MaandamanoThursdays,[0.88914675 0.08259366 0.02825949]
gff_kim,  Ngombe ni ngombe 2 sad hizi mtaacha 2 foolish people,MaandamanoThursdays MaandamanoMondays,[0.9199879  0.0541564  0.02585569]
Meshack_namayi,  Uku Pipeline na Outering road Sai ni masaa ya kuiba sasa alaf wafanye mistake waanue stima plus nitawashukuru Sana Sema kuomoka na double door fridge microwave condom bed Unga TV woofer etc,Raila MaandamanoThursdays,[0.41460022 0.3813865  0.20401326]
TheBarnupdate,  Kenyans high time become real ’ longer laugh matter Lets leave fact many business close third week Maandamano,MaandamanoThursdays Maandamano Raila protest,[0.3302237  0.4380516  0.23172463]
AslayIdris,  today family go sleep hungry another family lose source income someone lose job today whats happen arrest sleep old man,MaandamanoThursdays MaandamanoThursdays,[0.8859899  0.09719208 0.01681805]
RealSimbaC,  think Mathare Kawangware Kibera mighty try Pipeline see today son Jaramogi weve always know Hes mighty sovereign everlasting must reclaim victory,Raila MaandamanoThursdays,[0.19133133 0.31680304 0.49186558]
komborianga,  case mainstream medium doesnt focus thisRemembernever allow manipulate brainwashedNone self free mind mental slaveryThe Azimio adherent need EMANCIPATION,MaandamanoThursdays Raila,[0.84977955 0.11811247 0.03210804]
RentmyRydez,  difference GLE 53 amp 63 GLE53 get super smooth 429hp turbocharged inlinesix GLE63 feature almighty 603hp twinturbo V8 9speed auto transmission amp allwheel drive,MaandamanoThursdays,[0.03527266 0.63162285 0.33310446]
KOT_Loyalss,  back President William Ruto know August Election think West back coup mistaken,MaandamanoThursdays,[0.58153576 0.38146275 0.03700149]
RetweeterKe,  ECONOMY,MaandamanoThursdays,[0.34797475 0.557122   0.0949032 ]
BigKahunar,  Itakuwa ivyo ivyo Ambia Ruto apunguze Bei ya Unga 70 Bob vile alisemamambo ya server kufunguliwa sisi hatuko,MaandamanoThursdays MaandamanoMondays,[0.48959133 0.37395775 0.13645087]
AllenMwiwawi,  Kamlesh Patni aka Brother Paul do Seems true Kenyan hustling spirit,MaandamanoThursdays,[0.2439417  0.33341715 0.42264113]
Peterz_Model,  either birth death still God Gods mercy grace comfort family friend involve fatal tragedy Pwani University Outering Road Pipeline Kisumu Peaceful Naivasha,theoutside inspirations MaandamanoThursdays Raila,[0.59495854 0.27813125 0.1269102 ]
waza_news,  According Vatican source pope Francis spend night hospital Rome treat respiratory illness,MaandamanoThursdays Nairobi PopeFrancis Vatican,[0.16662695 0.7219829  0.11139018]
joncaleaf1,  Wewe Kaa kwako ukichoka na,MaandamanoThursdays MaandamanoMondays,[0.49145108 0.28760424 0.22094467]
odindomarvin,  wanton destruction property peaceful protest Kayole Babu Owino Winnie Odinga Pwani University Martha Karua Gatundu Eldoret Moses Kuria Narok Runda Kedong Northlands DP Gachagua Mombasa Protests President William Ruto,MaandamanoThursdays Raila,[0.39272514 0.4594014  0.14787352]
NaitwaYoung,  Umeona Karen Kileleshwa Lavington Redhill posh area Ama hatuko economy moja Niwashenzi tu wanafuata billionaire kuharibu mali yao wakilala njaa yeye anarudi Karen kuwacheka,MaandamanoThursdays Raila,[0.4750886  0.35162166 0.1732898 ]
MpashoNews,  Hi Mpasho currently Jamu,MaandamanoThursdays,[0.12145029 0.70307034 0.17547934]
ChristineMangi,  Police Rubbish Allegations Collaborating Goons Azimio Protests,MaandamanoThursdays Maandamano,[0.89859384 0.08693383 0.01447232]
Abdy_14_, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
johntymuch,  Shame wadimples think as wan na burn country milk Kenya dry blame country burn corrupt vulture govt easily conceal loot,MaandamanoThursdays,[0.9116311  0.06226297 0.02610593]
SamMasika_,  demonstration luo affair confused element tribe,MaandamanoThursdays,[0.391882   0.5117704  0.09634757]
MumoOnesmas,  Tension youth attempt raid Kenyattas Kedong ranch Northlands invasion,Kedongranch Northlands UhuruKenyatta Raila RutoMustGo Nairobi Kisumu MaandamanoThursdays Maandamano PwaniUniversity,[0.8520386  0.12468322 0.0232782 ]
_PoliticalDaily,  Office Kenyas UDA party set ablaze protester demonstrate high cost live amp election rig clear sign grow frustration amp anger among people Urgent action need address concern amp restore calm,protests MaandamanoThursdays,[0.5944737  0.26725003 0.13827631]
TMoronge,  use think/speak mind independently hed maintain objectivity perhaps hed president Kenya today,MaandamanoThursdays,[0.14061269 0.49279913 0.36658812]
Abdy_14_,  Innocent suffer,MaandamanoThursdays,[0.9367579  0.04648363 0.01675843]
TeddyBarasa,  middle age man Murdered Kayole around Jacaranda ground Outering William Ruto Rest peace,MaandamanoThursdays,[0.8802201  0.10700329 0.01277653]
MumoOnesmas,  Rutos portrait fall arrive preside American Chamber Commerce Summit,Azimio Raila RailaOdinga RutoMustGo MaandamanoThursdays Maandamano demonstration PwaniUniversity Nairobi Kisumu,[0.1598414  0.65303475 0.18712385]
AzimioQueen,  Azimio Peaceful demonstration aim push illegitimate regime reduce cost livingopen serversstop dictatorship among irreducible minimum,MaandamanoThursdays,[0.58529353 0.25981894 0.15488748]
ChristineMangi,  Attacks journalist stop NTV ’ camera person others badly injure teargas canister explode,MaandamanoThursdays Maandamano Journalismisnotcrime,[0.9038146  0.0845587  0.01162669]
SG_domi,  Maandamano outcome : •Jamia Supermarket loot •Jaramogi Oginga Odinga mortuary vandalize equipment destroy •Businesses along outering road loot ground •Most business Nairobi Nyanza remain closed Karen MC Full Stop Pipeline,MaandamanoThursdays,[0.8832896  0.10481016 0.01190023]
joeamanon, ,RutoMustGo Maandamano MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
waziri_fujo,  Use one word describe today,Maandamano MaandamanoThursdays,[0.13915615 0.640101   0.22074288]
MutuaLoyd,  Kenya want Mr Raila Odinga,MaandamanoThursdays,[0.32211846 0.48810384 0.1897777 ]
jeune_afrique,  À l ’ appel de chef de l ’ opposition de manifestants se sont rassemblés pour une 3e journée de protestation au Ils accusent ’ être incapable ’ agir contre l ’,RailaOdinga Kenya WilliamRuto inflation,[0.898559   0.05175779 0.04968323]
KTMN_Ke,  Raila promise Mother Rallies Monday,MaandamanoThursdays MaandamanoMondays,[0.11901493 0.5717955  0.30918953]
CosnameTv1,  man spot protest half naked Anti Government demo Migori March 30 2023 Outering Road Pwani University,Nairobi Raila MaandamanoThursdays JKLive cosname,[0.37273484 0.56082386 0.06644132]
ncbethebest1,  Question look situation political leader amp think still room dialogue message young people protest term sustainable peace community,WilliamRuto RailaOdinga,[0.1964495  0.6096273  0.19392319]
AzimioMDD,  sure peaceful police police cause chaos Endeni mpige bandit huko North Eastern leave peaceful hungry Kenyans alone police destroy property suppose protect isult democracy Outering Road Edwin Sifuna,MaandamanoThursdays,[0.82071304 0.13447346 0.04481345]
SamMasika_,  bad thing happen Raila arrest detain dont think anything fear wont country loose guy gag together want go,MaandamanoThursdays,[0.77796507 0.1603315  0.06170339]
Hekock,  RAILA GREATEST ILLITERATE POLITICAL GOON EVER COJNTRYHE UNLIKE OTHERS REACHED HIGH TABLE VIOLENCE INTIMIDATIONHE SICK MAD MAN,MaandamanoThursdays Maandamano,[0.8664396  0.05961088 0.07394955]
IthaliiJackson,  support idea daily maandamano azimio Monday Monday Reply Outering Road Karen Raila Ruto,MaandamanoThursdays MaandamanoMondays,[0.09317127 0.73773044 0.16909824]
shot_xr, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
dudumbaya_dudy,  Police overpower Protesters along Outering Road Pwani University RIP Outering Road Babu Owino William Ruto Pipeline Runda Martha karua amber ray karen gatundu trade CS moses Kuria Eldoret,Raila MaandamanoThursdays,[0.51382375 0.3107607  0.17541556]
CKogutu,  Turns Governor Nyong ’ right suspend demo destruction property Kisumu City mindboggling,MaandamanoThursdays,[0.8787986  0.09653296 0.02466846]
solo_ambuku,  speak soon think outgun government monopoly instrument violence agent train kill maim legal framework behind boot dont tempt fate fren Stop stupidity,Maandamano MaandamanoThursdays,[0.785951   0.16594    0.04810898]
SanyaNabwana,  Oyugis : Residents deem fit take Police vehicle park instead fuel wastage witness,MaandamanoThursdays,[0.3217454  0.52750075 0.15075383]
NabwanaSanya,  Oyugis : Residents deem fit take Police vehicle park instead fuel wastage witness,MaandamanoThursdays,[0.3217454  0.52750075 0.15075383]
IthaliiJackson,  Seems Ruto Inspector General enjoy see police work protester utilize teargas budget Outering Road Karen Raila,MaandamanoThursdays,[0.2541032  0.3291455  0.41675127]
MKENYA_SHUJAA,  see face plaster front page answer property steal belong Kenyatta,Maandamano MaandamanoMondays MaandamanoThursdays,[0.1425529  0.7544061  0.10304102]
KijanaYaRhonda,  Hauski kuna jamaa alipiga tear gas heady,MaandamanoThursdays,[0.46494678 0.2791608  0.2558924 ]
osakyna_n,  winner war Ruto lose Raila lose police lose Elected leader lose Religious amp civil society lose loser KENYA lose,MaandamanoThursdays Maandamano MaandamanoMondays,[0.83308893 0.13008513 0.03682601]
Asamoh_,  criminal element must plant state destroy property blame opposition supporter saw day back,MaandamanoThursdays,[0.8772809  0.10382923 0.01888982]
Sam_Lulli,  NTV reporter attack viciously demonstrator police reportedly able rescue man rush hospital,MaandamanoThursdays,[0.43071005 0.34247813 0.22681184]
MigosiAmbrose,  much Respect do country oppose cant continue put Economy lock property Destruction one Man Arrested | KISUMU |,MaandamanoThursdays MaandamanoMondays,[0.90766114 0.07811629 0.01422258]
Fay254_,  Play win captainsbet enjoy boost odds 🤑 free withdrawal register Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP Kayole,MaandamanoThursdays Raila,[0.28634694 0.46494958 0.24870352]
DNdunguMaina,  Kama umeshiba pesa yetu ya subsidy tulia Sisi tunaumia lazima,MaandamanoThursdays,[0.48813206 0.33590025 0.17596772]
Fay254_,  Receive 100 % deposit bonus today registration via link Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP Kayole,MaandamanoThursdays Raila,[0.22632635 0.539354   0.23431961]
Koffi_brianKE,  Mortuary Really Wait go loot soul whove rest bad Thooooooo,MaandamanoThursdays,[0.57587373 0.29424852 0.12987779]
DNdunguMaina,  Rt Hon Raila Odinga free Kenyan Constitutional right politics long alive Kenya democracy dictatorship cant force anyone quit politics Kenyans wont stop restore subsidy,MaandamanoThursdays,[0.44532272 0.3018154  0.25286186]
mob25flow,  baba today people praise Lord many see shower due change weather dunda moja safi ya kukaribisha weekend dj know task deliver,MaandamanoThursdays TBT Raila,[0.16258919 0.30717668 0.53023416]
